study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	0.0	hr	NA	35.5	NA	NA	NA	sec	NA
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	1.5	hr	NA	45.8	NA	NA	NA	sec	NA
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	3.0	hr	NA	46.7	NA	NA	NA	sec	NA
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	6.0	hr	NA	43.0	NA	NA	NA	sec	NA
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	12.0	hr	NA	40.6	NA	NA	NA	sec	NA
Mendell2011	NA	japanFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFast	24.0	hr	NA	38.5	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	0.0	hr	NA	34.8	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	1.5	hr	NA	45.8	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	3.0	hr	NA	46.7	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	6.0	hr	NA	41.5	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	12.0	hr	NA	37.9	NA	NA	NA	sec	NA
Mendell2011	NA	japanFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_japanFed	24.0	hr	NA	36.1	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	0.0	hr	NA	33.7	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	1.5	hr	NA	45.4	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	3.0	hr	NA	42.7	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	6.0	hr	NA	40.5	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	12.0	hr	NA	36.0	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFast	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFast	24.0	hr	NA	34.3	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	0.0	hr	NA	37.4	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	1.5	hr	NA	44.2	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	3.0	hr	NA	42.7	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	6.0	hr	NA	42.7	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	12.0	hr	NA	35.1	NA	NA	NA	sec	NA
Mendell2011	NA	caucasFed	16.0	ED60	aPTT	NA	plasma	coagulation assay	aPTT_caucasFed	24.0	hr	NA	33.7	NA	NA	NA	sec	NA
