study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Mendell2015a	all	34	NA	species	34	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	healthy	34	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	ethnicity	7	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	ethnicity	24	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	ethnicity	2	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	ethnicity	3	NA	hispanic	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	pregnant	34	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	medication	34	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	sex	7	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	sex	27	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	overnight fast	34	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Mendell2015a	all	34	NA	age	34	NA	NA	30.9	NA	6.4	NA	NA	NA	yr	NA
Mendell2015a	all	34	NA	bmi	34	NA	NA	26.1	NA	2.7	NA	NA	NA	kg/m^2	NA
