study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Bathala2012	all	6	NA	species	6	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Bathala2012	all	6	NA	healthy	6	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Bathala2012	all	6	NA	ethnicity	6	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Bathala2012	all	6	NA	medication	6	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Bathala2012	all	6	NA	sex	6	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Bathala2012	all	6	NA	age	6	NA	NA	38.5	NA	4.9	NA	30.0	55.0	yr	NA
Bathala2012	all	6	NA	bmi	6	NA	NA	NA	NA	NA	NA	25.0	28.8	kg/m^2	NA
Bathala2012	all	6	NA	weight	6	NA	NA	85.0	NA	5.6	NA	NA	NA	kg	NA
Bathala2012	all	6	NA	overnight fast	6	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
