study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Bathala2012	all	6.0	ED60	recovery	edoxaban+metabolites	feces	scintillation counting	recovery_edo_total_feces_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban+metabolites	feces	scintillation counting	recovery_edo_total_feces_ED60	168.0	hr	62.2	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban	feces	scintillation counting	recovery_edoxaban_total_feces_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban	feces	scintillation counting	recovery_edoxaban_total_feces_ED60	168.0	hr	49.1	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M6	feces	scintillation counting	recovery_M6_feces_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M6	feces	scintillation counting	recovery_M6_feces_ED60	168.0	hr	1.66	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M8	feces	scintillation counting	recovery_M8_feces_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M8	feces	scintillation counting	recovery_M8_feces_ED60	168.0	hr	0.34	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M1	feces	scintillation counting	recovery_M1_feces_ED60	0.0	hr	NA	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M1	feces	scintillation counting	recovery_M1_feces_ED60	168.0	hr	NA	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M4	feces	scintillation counting	recovery_M4_feces_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban-M4	feces	scintillation counting	recovery_M4_feces_ED60	168.0	hr	1.93	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban+metabolites	urine	scintillation counting	recovery_edo_total_urine_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban+metabolites	urine	scintillation counting	recovery_edo_total_urine_ED60	168.0	hr	35.4	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban	urine	scintillation counting	recovery_edoxaban_total_urine_ED60	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Bathala2012	all	6.0	ED60	recovery	edoxaban	urine	scintillation counting	recovery_edoxaban_total_urine_ED60	168.0	hr	23.8	NA	NA	NA	5.47610619469027	NA	NA	percent	NA
