study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Matsushima2013	all	36	NA	species	36	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	healthy	36	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	ethnicity	25	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	sex	33	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	sex	3	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	overnight fast	36	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	age	16	NA	NA	33.8	NA	NA	NA	NA	NA	yr	NA
Matsushima2013	all	36	NA	bmi	16	NA	NA	25.7	NA	NA	NA	NA	NA	kg/m^2	NA
Matsushima2013	all	36	NA	medication	36	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Matsushima2013	all	36	NA	alcohol	36	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
