run	success	duration	cost	Emax_PT	EC50_edo_PT	Emax_aPTT	EC50_edo_aPTT	message	x	x0
67	True	12.480266332626343	47.89584268562986	3.6762994520462455	0.0027062726583800974	1.9397792689345885	0.0008459875594125807	`xtol` termination condition is satisfied.	[3.67629945e+00 2.70627266e-03 1.93977927e+00 8.45987559e-04]	[2.02975513e+00 1.79211934e-04 7.19522249e+00 5.38600803e-03]
91	True	13.243381023406982	47.89648525443004	3.7150163703289256	0.002740643136451959	1.931368741501949	0.0008405484980674431	`ftol` termination condition is satisfied.	[3.71501637e+00 2.74064314e-03 1.93136874e+00 8.40548498e-04]	[2.42520820e+00 1.46122513e-04 3.55076383e+00 4.32138122e-03]
90	True	13.77323055267334	47.896485289825435	3.71502434566125	0.0027406509710244404	1.9313677908499989	0.0008405478511220731	`ftol` termination condition is satisfied.	[3.71502435e+00 2.74065097e-03 1.93136779e+00 8.40547851e-04]	[1.89785330e-01 6.48713933e-06 8.36015528e+00 4.33016266e-04]
31	True	13.969324588775635	47.89648531943122	3.715027896099195	0.002740654458947369	1.9313672947741258	0.0008405475135285991	`ftol` termination condition is satisfied.	[3.71502790e+00 2.74065446e-03 1.93136729e+00 8.40547514e-04]	[9.04224732e-01 6.35633926e-05 1.75149500e+00 3.09405437e-03]
50	True	31.44062376022339	47.896485332732105	3.7150278215188353	0.0027406543856792467	1.9313672318602837	0.000840547470713979	`ftol` termination condition is satisfied.	[3.71502782e+00 2.74065439e-03 1.93136723e+00 8.40547471e-04]	[6.54362681e+00 1.27408159e-06 9.86979964e-01 1.72933124e-05]
99	True	17.986510753631592	47.89648533281282	3.715026923005582	0.0027406535029785932	1.9313673175096344	0.0008405475290007425	`ftol` termination condition is satisfied.	[3.71502692e+00 2.74065350e-03 1.93136732e+00 8.40547529e-04]	[2.01388305e+00 2.34871496e-07 7.54572080e+00 1.97436911e-04]
82	True	17.775617122650146	47.896485332989656	3.7150227366932422	0.0027406493904167067	1.9313677176505963	0.000840547801307833	`ftol` termination condition is satisfied.	[3.71502274e+00 2.74064939e-03 1.93136772e+00 8.40547801e-04]	[1.24552163e-01 7.20511393e-05 6.34463050e+00 7.16130223e-03]
70	True	13.60839033126831	47.89648533423731	3.715029350151686	0.0027406558874237545	1.931367077501308	0.000840547365668419	`ftol` termination condition is satisfied.	[3.71502935e+00 2.74065589e-03 1.93136708e+00 8.40547366e-04]	[6.61015068e+00 1.25536221e-05 1.52816634e-01 2.44296072e-06]
68	True	19.865392684936523	47.896485337841476	3.715026497093164	0.002740653084563683	1.9313673318245534	0.0008405475387424438	`ftol` termination condition is satisfied.	[3.71502650e+00 2.74065308e-03 1.93136733e+00 8.40547539e-04]	[4.62665513e+00 1.49444678e-07 6.34254046e-01 1.01249893e-03]
3	True	13.845812559127808	47.89648533976862	3.7150229840274296	0.0027406496333900626	1.9313676582466532	0.0008405477608817922	`ftol` termination condition is satisfied.	[3.71502298e+00 2.74064963e-03 1.93136766e+00 8.40547761e-04]	[3.64437025e-01 3.34778968e-06 3.28692334e+00 2.08085618e-03]
