study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	0.0	hr		34.8					sec	sec
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	1.5	hr		45.8					sec	sec
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	3.0	hr		46.7					sec	sec
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	6.0	hr		41.5					sec	sec
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	12.0	hr		37.9					sec	sec
Mendell2011		japanFed	16.0	ED60	aPTT		plasma	coagulation assay	aPTT_japanFed	24.0	hr		36.1					sec	sec
